cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_d,effect_value,effect_unit,source,endpoint
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,66.86084169,mg/L,Widmayer 2022,Growth
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,2,1.171597685,mg/L,Widmayer 2022,Growth
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,2,1.370369273,mg/L,Widmayer 2022,Growth
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,2,0.959360163,mg/L,Widmayer 2022,Growth
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,2,0.754842714,mg/L,Widmayer 2022,Growth
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,2,0.861664488,mg/L,Widmayer 2022,Growth
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,2,0.595081872,mg/L,Widmayer 2022,Growth
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,2,1.255433587,mg/L,Widmayer 2022,Growth
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,1.544327134,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,2,25.23729451,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,2,28.84736742,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,2,31.64342754,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,2,25.22229766,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,2,33.99544415,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,2,25.09207066,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,2,22.4961292,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,41.21928061,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,2,1.951809188,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,2,1.542784892,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,2,1.726156386,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,2,1.543669067,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,2,1.281679602,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,2,1.519817287,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,2,1.482222916,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,1.511647756,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,2,0.419253774,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,2,0.402551623,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,2,0.424344321,mg/L,Widmayer 2022,Growth
