Chemical name
Alumina
Aluminium element (ECOTOX)
Aluminum chloride;Aluminium trichloride
Aluminum nitrate;Aluminium trinitrate
Aluminum sulfate;Aluminium sulfate (2/3)
Aluminum triphosphate
Arsenic acid;Arsoric acid
Arsenic element (ECOTOX)
Arsenic oxide (As2O3)
Arsenic(III) sulfide;Bicyclo[1.1.1]diarsathiane
Arsenite;Arsorite
Barite (Ba(SO4))
Barium acetate;Barium diacetate
Barium chloride;Barium dichloride
Barium element (ECOTOX)
Barium nitrate;Barium dinitrate
Barium sulfate;Barium sulfate
Basic copper chloride;Dichloridocopper--dihydroxidocopper (1/3)
Basic copper sulfate
Basic copper(2+) sulfate
Beryllium chloride;Beryllium dichloride
Beryllium dinitrate trihydrate
Beryllium element (ECOTOX)
Beryllium nitrate (Be(NO3)2);Beryllium dinitrate
Beryllium sulfate;Beryllium sulfate
Cadmium acetate;Cadmium diacetate
Cadmium chloride;Cadmium dichloride
Cadmium dinitrate;Cadmium dinitrate
Cadmium element (ECOTOX)
Cadmium oxide;(Oxido)cadmium
Cadmium sulfate (1:1);Cadmium sulfate
Cadmium sulfide
Cadmium-iodide-
Calcium arsenate;Calcium arsorate (3/2)
"Carbonic acid, lead(2+) salt (1:1);Lead(2+) carbonate"
"Chromic acid (H2CrO4), Disodium salt; Sodium chromate"
Chromium chloride (CrCl3);Chromium(3+) trichloride
Chromium dichloride
Chromium trioxide;Tris(oxido)chromium
Chromium(III) acetate;Chromium(3+) triacetate
Chromium(III) nitrate;Chromium(3+) trinitrate
Copper chloride
Copper hydroxide sulfate (Cu4(OH)?6(SO4)?);Copper(2+) hydroxide sulfate (4/6/1)
Copper nitrate;Copper(2+) dinitrate
Copper oxychloride sulfate;Copper(2+) chloride hydroxide sulfate (6/1/9/1)
Copper sulfate;Copper(2+) sulfate
Copper(I) chloride;Copper(1+) chloride
Copper(II) chloride;Copper(2+) dichloride
Copper(II) hydroxide;Copper(2+) dihydroxide
"Copper(II) sulfate, pentahydrate;Copper(2+) sulfate--water (1/1/5)"
Copper;Copper
Cupric acetate;Copper(2+) diacetate
Cupric oxide;(Oxido)copper
Cuprous oxide;Copper(1+) oxidocopper
DIPOTASSIUM SELENITE
Disodium arsenate;Disodium hydrogen arsorate
Ferric chloride;Iron(3+) trichloride
Ferric sulfate;Iron(3+) sulfate (2/3)
Iron chloride
Iron element (ECOTOX)
Iron sulfate
Iron(II) chloride;Iron(2+) dichloride
Iron(II) sulfate heptahydrate;Iron(2+) sulfate--water (1/1/7)
Iron(II) sulfate;Iron(2+) sulfate
Lead element (ECOTOX)
Lead monoxide;lambda~2~-Plumbanone
Lead nitrate;Lead(2+) dinitrate
Lead(II) acetate;Lead(2+) diacetate
Lead(II) chloride;Dichloro-lambda~2~-plumbane
Lead(II) sulfide;lambda~2~-Plumbanethione
Magnesium chloride;Magnesium dichloride
Magnesium sulfate;Magnesium sulfate
Manganese element (ECOTOX)
Manganese lactate
Manganese sulfate (1:1);Manganese(2+) sulfate
Manganese(II) chloride;Manganese(2+) dichloride
Mercuric chloride;Mercury dichloride
Mercuric nitrate;Mercury dinitrate
Mercuric sulfate;Mercury sulfate
Mercurous nitrate monohydrate
Mercury chloride (Hg2Cl2);Dichloridodimercury(Hg-Hg)
Mercury(II) acetate;Mercury diacetate
Molybdenum trioxide;Tris(oxido)molybdenum
Molybdenum;Molybdenum
Nickel chloride
Nickel element (ECOTOX)
Nickel sulfate;Nickel(2+) sulfate
Nickel(II) acetate;Nickel(2+) diacetate
Nickel(II) chloride;Nickel(2+) dichloride
"Nitric acid, zinc salt (2:1);Zinc dinitrate"
"P,P-Diethylphosphinic acid aluminum salt; Aluminum diethylphosphinate"
Potassium chromate(VI);Dipotassium tetraoxidochromate(2-)
Potassium dichromate;Dipotassium mu-oxido(hexaoxido)dichromate(4-)
Selenate;Selenate
"Selenic acid, potassium salt (1:2);Dipotassium selenate"
Selenious acid;Selenous acid
Selenite;Selenite
Selenium dioxide;Dioxo-lambda~4~-selane
Selenium element (ECOTOX)
