x,y,or.slope,or.int,or.r2,lr.slope,lr.int,Pearson's r,p value,Deg. freedom
TC_ZF_Padilla:BMD:6:TERATOSCORE,TC_ZF_Padilla:ACC:6:TERATOSCORE,1.008,-0.053,0.998,1.006,-0.052,0.998,0,403
TC_ZF_Padilla:AC5:6:TERATOSCORE,TC_ZF_Padilla:BMD:6:TERATOSCORE,0.883,0.415,0.889,0.795,0.394,0.888,0,403
TC_ZF_Padilla:AC5:6:TERATOSCORE,TC_ZF_Padilla:ACC:6:TERATOSCORE,0.894,0.367,0.913,0.823,0.35,0.912,0,403
TC_ZF_Padilla:AC50:6:TERATOSCORE,TC_ZF_Padilla:BMD:6:TERATOSCORE,1.023,-0.132,0.977,0.999,-0.124,0.977,0,403
TC_ZF_Padilla:AC50:6:TERATOSCORE,TC_ZF_Padilla:ACC:6:TERATOSCORE,1.031,-0.186,0.973,1.002,-0.176,0.972,0,403
TC_ZF_Padilla:AC50:6:TERATOSCORE,TC_ZF_Padilla:AC5:6:TERATOSCORE,1.168,-0.623,0.855,0.973,-0.559,0.853,0,403
TC_ZF_Padilla:AC50:6:TERATOSCORE,TC_ZF_Padilla:AC20:6:TERATOSCORE,1.039,-0.242,0.972,1.008,-0.232,0.972,0,403
TC_ZF_Padilla:AC50:6:TERATOSCORE,TC_ZF_Padilla:AC10:6:TERATOSCORE,1.089,-0.426,0.922,0.996,-0.395,0.921,0,403
TC_ZF_Padilla:AC20:6:TERATOSCORE,TC_ZF_Padilla:BMD:6:TERATOSCORE,0.985,0.106,0.976,0.961,0.108,0.976,0,403
TC_ZF_Padilla:AC20:6:TERATOSCORE,TC_ZF_Padilla:ACC:6:TERATOSCORE,0.993,0.054,0.984,0.977,0.056,0.984,0,403
TC_ZF_Padilla:AC20:6:TERATOSCORE,TC_ZF_Padilla:AC5:6:TERATOSCORE,1.105,-0.349,0.952,1.046,-0.343,0.951,0,403
TC_ZF_Padilla:AC20:6:TERATOSCORE,TC_ZF_Padilla:AC10:6:TERATOSCORE,1.043,-0.172,0.987,1.028,-0.17,0.987,0,403
TC_ZF_Padilla:AC10:6:TERATOSCORE,TC_ZF_Padilla:BMD:6:TERATOSCORE,0.942,0.268,0.942,0.89,0.264,0.942,0,403
TC_ZF_Padilla:AC10:6:TERATOSCORE,TC_ZF_Padilla:ACC:6:TERATOSCORE,0.951,0.217,0.959,0.913,0.215,0.958,0,403
TC_ZF_Padilla:AC10:6:TERATOSCORE,TC_ZF_Padilla:AC5:6:TERATOSCORE,1.056,-0.168,0.988,1.043,-0.169,0.988,0,403
"NIEHS_RAT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:BMD:6:TERATOSCORE,-0.19,0.924,0.12,-0.04,0.587,-0.044,0.857,17
