cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_d,effect_value,effect_unit,endpoint,source
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,52.26957779,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,58.8746967,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,26.85158678,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,27.18700692,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,61.03458193,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,37.74572481,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,34.27567468,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,57.48578712,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,63.23004895,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,88.6154896,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,74.80496685,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,61.6740388,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,81.25935159,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,66.2619575,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,66.86084169,mg/l,Growth,Widmayer 2022
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,1.171597685,mg/l,Growth,Widmayer 2022
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,1.370369273,mg/l,Growth,Widmayer 2022
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,0.959360163,mg/l,Growth,Widmayer 2022
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,0.754842714,mg/l,Growth,Widmayer 2022
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,0.861664488,mg/l,Growth,Widmayer 2022
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,0.595081872,mg/l,Growth,Widmayer 2022
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,1.255433587,mg/l,Growth,Widmayer 2022
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,1.544327134,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,25.23729451,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,28.84736742,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,31.64342754,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,25.22229766,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,33.99544415,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,25.09207066,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,22.4961292,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,41.21928061,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,1.951809188,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,1.542784892,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,1.726156386,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,1.543669067,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,1.281679602,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,1.519817287,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,1.482222916,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,1.511647756,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,0.419253774,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,0.402551623,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,0.424344321,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,0.52982688,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,0.429615056,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,0.480939305,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,0.795419083,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,0.736899858,mg/l,Growth,Widmayer 2022
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,6.683327973,mg/l,Growth,Widmayer 2022
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,7.824608852,mg/l,Growth,Widmayer 2022
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,8.422754487,mg/l,Growth,Widmayer 2022
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,6.892834846,mg/l,Growth,Widmayer 2022
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,6.394828732,mg/l,Growth,Widmayer 2022
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,8.318431439,mg/l,Growth,Widmayer 2022
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,11.42278526,mg/l,Growth,Widmayer 2022
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,13.8340093,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,9.044958895,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,5.473853379,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,10.10962757,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,5.756094289,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,9.087771114,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,7.924516214,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,5.919155342,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,5.049255633,mg/l,Growth,Widmayer 2022
114261,Propoxur,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,68.05875801,mg/l,Growth,Widmayer 2022
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,42.51442189,mg/l,Growth,Widmayer 2022
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,58.21666228,mg/l,Growth,Widmayer 2022
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,43.44980418,mg/l,Growth,Widmayer 2022
114261,Propoxur,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,60.98770083,mg/l,Growth,Widmayer 2022
114261,Propoxur,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,23.08804016,mg/l,Growth,Widmayer 2022
114261,Propoxur,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,48.20347628,mg/l,Growth,Widmayer 2022
114261,Propoxur,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,53.92341817,mg/l,Growth,Widmayer 2022
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,5.680144302,mg/l,Growth,Widmayer 2022
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,2.426926689,mg/l,Growth,Widmayer 2022
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,7.424775826,mg/l,Growth,Widmayer 2022
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,3.658512558,mg/l,Growth,Widmayer 2022
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,3.919242061,mg/l,Growth,Widmayer 2022
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,7.209350484,mg/l,Growth,Widmayer 2022
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,5.68048437,mg/l,Growth,Widmayer 2022
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,4.644093573,mg/l,Growth,Widmayer 2022
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,5.197462844,mg/l,Growth,Widmayer 2022
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,9.227513605,mg/l,Growth,Widmayer 2022
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,4.945233424,mg/l,Growth,Widmayer 2022
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,5.939036351,mg/l,Growth,Widmayer 2022
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,2.415480159,mg/l,Growth,Widmayer 2022
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,3.875157836,mg/l,Growth,Widmayer 2022
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,6.078016745,mg/l,Growth,Widmayer 2022
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,4.718264585,mg/l,Growth,Widmayer 2022
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,2.274796819,mg/l,Growth,Widmayer 2022
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,0.987772275,mg/l,Growth,Widmayer 2022
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,2.253125549,mg/l,Growth,Widmayer 2022
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,1.26570776,mg/l,Growth,Widmayer 2022
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,0.536487417,mg/l,Growth,Widmayer 2022
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,2.870051138,mg/l,Growth,Widmayer 2022
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,1.563627714,mg/l,Growth,Widmayer 2022
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,3.245379734,mg/l,Growth,Widmayer 2022
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,8.581637345,mg/l,Growth,Widmayer 2022
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,10.12682369,mg/l,Growth,Widmayer 2022
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,11.21462365,mg/l,Growth,Widmayer 2022
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,6.148602309,mg/l,Growth,Widmayer 2022
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,11.05113954,mg/l,Growth,Widmayer 2022
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,10.62067825,mg/l,Growth,Widmayer 2022
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,9.146460556,mg/l,Growth,Widmayer 2022
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,9.752695172,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,1,54.48868642,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,1,52.62967026,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,1,60.54726036,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,1,59.44757491,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,1,35.03979684,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,1,45.63260394,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,1,45.47319834,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,1,64.68186514,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,1,11.94579357,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,1,12.89487332,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,1,15.79389811,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,1,13.83760013,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,1,12.91308125,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,1,11.38415517,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,1,12.22222283,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,1,14.12626156,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,1,107.1477292,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,1,127.8754317,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,1,131.2642732,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,1,80.09309123,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,1,97.47673401,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,1,140.6379976,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,1,115.7944806,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,1,100.2115922,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,1,145.7476887,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,1,195.2469585,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,1,169.7841637,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,1,123.0355123,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,1,129.5584323,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,1,221.3456031,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,1,126.8577,mg/l,Growth,Widmayer 2022
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,1,179.3644225,mg/l,Growth,Widmayer 2022
121755,Malathion,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,1,82.73495962,mg/l,Growth,Widmayer 2022
121755,Malathion,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,1,81.8263601,mg/l,Growth,Widmayer 2022
121755,Malathion,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,1,856.0073914,mg/l,Growth,Widmayer 2022
121755,Malathion,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,1,64.59586122,mg/l,Growth,Widmayer 2022
121755,Malathion,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,1,78.28622067,mg/l,Growth,Widmayer 2022
121755,Malathion,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,1,64.62801094,mg/l,Growth,Widmayer 2022
121755,Malathion,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,1,44.42604933,mg/l,Growth,Widmayer 2022
121755,Malathion,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,1,118.8069079,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,1,77.25663361,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,1,97.40066576,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,1,85.94795167,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,1,73.61289674,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,1,87.68354934,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,1,79.57221141,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,1,78.3987571,mg/l,Growth,Widmayer 2022
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,1,108.6330891,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,1,5.205423814,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,1,8.326317844,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,1,5.526586341,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,1,5.905979179,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,1,5.67439115,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,1,4.45823508,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,1,5.634359946,mg/l,Growth,Widmayer 2022
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,1,6.336796123,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,1,3.451315971,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,1,5.160835782,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,1,5.20307196,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,1,4.099531621,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,1,3.338406992,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,1,4.405992319,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,1,5.126850447,mg/l,Growth,Widmayer 2022
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,1,6.176541973,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,1,17.76809343,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,1,16.11664196,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,1,17.01419078,mg/l,Growth,Widmayer 2022
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,1,12.00919067,mg/l,Growth,Widmayer 2022
