cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_d,effect_value,effect_unit,endpoint,source
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,176.4455577,mg/l,Growth,Widmayer 2022
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,131.3332804,mg/l,Growth,Widmayer 2022
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,147.7526366,mg/l,Growth,Widmayer 2022
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,111.1049017,mg/l,Growth,Widmayer 2022
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,141.0342609,mg/l,Growth,Widmayer 2022
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,125.7037611,mg/l,Growth,Widmayer 2022
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,132.4834985,mg/l,Growth,Widmayer 2022
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,161.6808549,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,21.83710817,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,15.93370953,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,22.44478937,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,19.18496462,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,10.87998209,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,18.23377815,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,13.82745908,mg/l,Growth,Widmayer 2022
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,24.91119776,mg/l,Growth,Widmayer 2022
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,80.04472339,mg/l,Growth,Widmayer 2022
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,105.5222732,mg/l,Growth,Widmayer 2022
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,85.09586229,mg/l,Growth,Widmayer 2022
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,81.92260939,mg/l,Growth,Widmayer 2022
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,88.92823023,mg/l,Growth,Widmayer 2022
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,109.2878311,mg/l,Growth,Widmayer 2022
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,80.12525112,mg/l,Growth,Widmayer 2022
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,95.5265183,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,4.880159799,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,1,3.768791259,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,1,6.454006985,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,1,6.384807746,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,1,5.418430226,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,1,6.006352244,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,1,5.853858221,mg/l,Growth,Widmayer 2022
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,1,5.530801644,mg/l,Growth,Widmayer 2022
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,1,45.4278174,mg/l,Growth,Widmayer 2022
