Species group 1,Species group 2,or.slope,or.int,or.r2,lr.slope,lr.int,Pearson's r,p value,Deg. freedom
Nematode Imager,Nematode COPAS,4.816,-4.696,0.495,0.361,0.583,0.221,0.513,9
Nematode Imager,Algae,11.578,-11.377,0.526,0.187,-0.229,0.105,0.744,10
Nematode Imager,Fish,1.995,-1.822,0.75,1.091,-0.922,0.673,0.003,15
Nematode Imager,Invertebrate,2.498,-2.955,0.815,1.372,-1.834,0.697,0.002,15
Nematode Imager,Rat,5.006,-3.154,0.292,0.153,2.46,0.116,0.719,10
Nematode Imager,ZF embryo,1.136,-0.667,0.249,0.255,0.132,0.247,0.555,6
Nematode COPAS,Algae,2.25,-2.675,0.294,0.271,0.014,0.222,0.005,159
Nematode COPAS,Fish,9.001,-11.38,0.369,0.127,0.559,0.087,0.051,502
Nematode COPAS,Invertebrate,11.492,-15.072,0.449,0.139,0.182,0.087,0.079,411
Nematode COPAS,Rat,0.058,3.051,0.31,0.028,3.094,0.038,0.375,548
Nematode COPAS,ZF embryo,0.907,-0.904,0.167,0.164,0.105,0.167,0.001,399
Fish,Algae,1.078,-0.133,0.343,0.351,0.206,0.342,0,151
Fish,Invertebrate,1.127,-0.357,0.803,0.882,-0.212,0.801,0,382
Fish,Rat,0.152,2.938,0.615,0.115,2.966,0.226,0,383
Fish,ZF embryo,0.871,0.388,0.595,0.545,0.34,0.592,0,251
Invertebrate,Algae,0.655,0.196,0.174,0.149,0.347,0.16,0.059,138
Invertebrate,Rat,0.207,2.914,0.699,0.169,2.93,0.362,0,308
Invertebrate,ZF embryo,0.316,0.374,0.419,0.179,0.316,0.256,0,198
Algae,Rat,-0.046,3.04,0.645,-0.036,3.036,-0.077,0.396,121
Algae,ZF embryo,0.328,0.247,0.278,0.135,0.267,0.169,0.109,89
Rat,ZF embryo,7.802,-23.429,0.278,0.096,-0.017,0.073,0.261,239
