cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_d,effect_value,effect_unit,source,endpoint,QC
16752775,Methomyl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073E01,,ACC_mg_L,6,2.73769308431551,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,AC50_mg_L,6,0.0695125813848182,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,AC20_mg_L,6,0.0552123708737193,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,AC10_mg_L,6,0.0474034341889578,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,AC5_mg_L,6,0.0409528065364534,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,BMD_mg_L,6,0.0580322726184956,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,ACC_mg_L,6,0.0553706918517522,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,AC50_mg_L,6,2.12074851877764,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,AC20_mg_L,6,0.68272853038528,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,AC10_mg_L,6,0.322360335273208,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,AC5_mg_L,6,0.156936623485574,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,BMD_mg_L,6,0.861894711269204,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,ACC_mg_L,6,0.684341241389431,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
