Common name,LC50 0-24 hpf (mg/L),LC50 0-48 hpf (mg/L),LC50 0-72 hpf (mg/L),LC50 0-96 hpf (mg/L),LC50 0-120 hpf (mg/L),LC50 0-120 (140) hpf (mg/L),LC50 0-144 hpf (mg/L),LEL 0-120 hpf (mg/L),LC50 4-56 hpf (mg/L),LC50 4-80 hpf (mg/L),LC50 12-48 hpf (mg/L),LC50 24-48 hpf (mg/L),LC50 24-72 hpf (mg/L),LC50 24-96 hpf (mg/L),LC50 24-120 hpf (mg/L),LC50 48-72 hpf (mg/L),LC50 72-96 hpf (mg/L),LC50 72-120 hpf (mg/L),LC50 72-144 hpf (mg/L),LC50  144-240 hpf (mg/L),LC50  168-240 hpf (mg/L),"Summary for regression (lowest value, mg/L)"
Nicotine,,,,,,,,,,,,76.2481,45.4244,29.2014,35.6906,,,,,,,29.2014
Glycerol,,,,,,,,,,,,,,,23352.1822,,,,,,,23352.1822
Acetic acid,,,,,,,,,,,,377.114,360.9005,329.074,186.155,,,,,,,186.155
Salicylic acid,,,,,,,,,,,,46.9608,46.9608,46.9608,46.9608,,,,,,,46.9608
Sodium oxalate,,,,,,,,,,,,,2971.8903,308.8029,250.2834,,,,,,,250.2834
Trichloroacetic acid,,,,,,,,,,,,86.5967,86.5967,86.5967,66.9899,,,,,,,66.9899
Paracetamol (Acetaminophen),,,,,,,,,,,,,888.8208,816.264,535.1064,,,,,,,535.1064
Phenol,,,,,,,,,,,,255.9792,354.7947,173.1624,86.5812,,,,,,,86.5812
Dimethyl sulfoxide,,,,,,,,,,,,,31187.1521,18816.0479,20964.6229,,,,,,,18816.0479
Formaldehyde,,,,,,,,,,,,,12.9129,11.1111,12.6126,,,,,,,11.1111
Ziram,,,,,3.914368,,,,,,,,,,,,,,,,,3.914368
Salicylic acid,,24.58536,,,22.79,,,,,,,,,,,,,,,,,22.79
Butyldiglykol,,1281.617,,,1281.617,,,,,,,,,,,,,,,,,1281.617
1-Methoxy-2-propanol,,16338.756,,,13914.528,,,,,,,,,,,,,,,,,13914.528
2-Methoxyethanol,,23831.388,,,17241.994,,,,,,,,,,,,,,,,,17241.994
"2,4-DB (Butyrac)",,,,,,6.43128303327663,,,,,,,,,,,,,,,,6.43128303327663
"2,5-Pyridinedicarboxylic acid, dipropyl ester",,,,,,0.432318458620494,,,,,,,,,,,,,,,,0.432318458620494
2-Phenylphenol,,,,,,7.85773133072899,,,,,,,,,,,,,,,,7.85773133072899
Propoxur,165.9999999015,145.999999989,,134.9999999325,,,,,,,,,,,,,,,,,,134.9999999325
Acetochlor,,,,,,7.1866728,,,,,,,,,,,,,,,,7.1866728
Alachlor,,,,,,7.1866728,,,,,,,,,,,,,,,,7.1866728
Azinphos-methyl,,,,,,8.7234017,,,,,,,,,,,,,,,,8.7234017
Bendiocarb,,,,,,10.3053954818085,,,,,,,,,,,,,,,,10.3053954818085
Benomyl,,,,,,0.499485414305563,,,,,,,,,,,,,,,,0.499485414305563
Bifenazate,,,,,,2.751206,,,,,,,,,,,,,,,,2.751206
Bisphenol A,,,,,,10.5389899858535,,,,,,,,,,,,,,,,10.5389899858535
Bromoxynil,,,,,,4.25904503942021,,,,,,,,,,,,,,,,4.25904503942021
Butafenacil,,,,,,0.00328958017576711,,,,,,,,,,,,,,,,0.00328958017576711
Captafol,,,,,,0.60054553154278,,,,,,,,,,,,,,,,0.60054553154278
Captan,,,,,,0.517154590404069,,,,,,,,,,,,,,,,0.517154590404069
Carboxin,,,,,,1.20635260286203,,,,,,,,,,,,,,,,1.20635260286203
Carfentrazone-ethyl,,,,,,0.233169875309826,,,,,,,,,,,,,,,,0.233169875309826
Chlorothalonil,,,,,,0.0850912,,,,,,,,,,,,,,,,0.0850912
Clodinafop-propargyl,,,,,,0.1119168,,,,,,,,,,,,,,,,0.1119168
Clorophene,,,,,,1.9418784,,,,,,,,,,,,,,,,1.9418784
Cyazofamid,,,,,,1.0100969,,,,,,,,,,,,,,,,1.0100969
Cymoxanil,,,,,,15.3668772,,,,,,,,,,,,,,,,15.3668772
Cyprodinil,,,,,,3.46509789076227,,,,,,,,,,,,,,,,3.46509789076227
Clopyralid-olamine,,,,,,,,,,,,,,,,,,,,,,
Dimethenamid,,,,,,12.7322854181015,,,,,,,,,,,,,,,,12.7322854181015
Fenamidone,,,,,,0.921744,,,,,,,,,,,,,,,,0.921744
Fenhexamid,,,,,,2.683536,,,,,,,,,,,,,,,,2.683536
Triphenyltin hydroxide (Fentin),,,,,,0.0687356161317028,,,,,,,,,,,,,,,,0.0687356161317028
Flufenpyr-ethyl,,,,,,0.231212603739502,,,,,,,,,,,,,,,,0.231212603739502
Fluthiacet-methyl,,,,,,0.00844099537743743,,,,,,,,,,,,,,,,0.00844099537743743
Folpet,,,,,,2.6334528,,,,,,,,,,,,,,,,2.6334528
Forchlorfenuron,,,,,,11.4341278185474,,,,,,,,,,,,,,,,11.4341278185474
Hexaconazole,,,,,,8.3705544,,,,,,,,,,,,,,,,8.3705544
Imazalil,,,,,,0.9093708,,,,,,,,,,,,,,,,0.9093708
Malathion,,,,,,8.391144,,,,,,,,,,,,,,,,8.391144
Methylene bis(thiocyanate),,,,,,0.667467256126681,,,,,,,,,,,,,,,,0.667467256126681
Metolachlor,,,,,,13.1011431428681,,,,,,,,,,,,,,,,13.1011431428681
MGK-264,,,,,,2.4454632,,,,,,,,,,,,,,,,2.4454632
Paclobutrazol,,,,,,14.0372862,,,,,,,,,,,,,,,,14.0372862
Primisulfuron-methyl,,,,,,2.40111847864175,,,,,,,,,,,,,,,,2.40111847864175
Propanil,,,,,,10.0676461348063,,,,,,,,,,,,,,,,10.0676461348063
Pyraclostrobin,,,,,,0.0726290675100046,,,,,,,,,,,,,,,,0.0726290675100046
Pyraflufen-ethyl,,,,,,0.0773783665457782,,,,,,,,,,,,,,,,0.0773783665457782
Sulfentrazone,,,,,,17.8745960516125,,,,,,,,,,,,,,,,17.8745960516125
TCMTB,,,,,,0.1348367778909,,,,,,,,,,,,,,,,0.1348367778909
Thiabendazole,,,,,,9.29069050178726,,,,,,,,,,,,,,,,9.29069050178726
Thiobencarb,,,,,,5.709827,,,,,,,,,,,,,,,,5.709827
